what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.importer.ecore,2.6.0.v20120130-0943,"org.eclipse.emf.importer.ecore",1352368520943
started,bundle,org.eclipse.emf.importer.rose,2.6.0.v20120130-0943,"org.eclipse.emf.importer.rose",1352368520944
started,bundle,org.eclipse.equinox.p2.repository.tools,2.0.100.v20110815-1438,"org.eclipse.equinox.p2.repository.tools",1352368520947
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1352368527478
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1352368527488
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1352368527489
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1352368527522
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1352368527568
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352368540534
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1352368565934
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1352368565934
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1352368565938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368583250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368583337
error,log,,,"Internal Error",1352368583344
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1352368595201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368600502
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1352368601954
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1352368601970
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1352368601973
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1352368601997
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1352368602001
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1352368602010
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1352368602038
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1352368602058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368602676
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1352368602710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368606012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368606101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368609123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368611526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1352368611553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368617057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368633833
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1352368641585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368642413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368646053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368648603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368650819
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352368657137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368665571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368665740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368675850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352368676007
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1352368679295
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352368681584
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352368681623
